06,12,20,0000,87.36,0.71,2.86,0.45,68.47,0.75,1
06,12,20,0000,41.52,0.64,48.55,0.07,20.41,0.2,2
06,12,20,0000,53.61,0.18,43.34,0.13,27.21,0.56,3
06,12,20,0000,71.28,0.58,98.16,0.13,31.18,0.77,4
06,12,20,0000,62.07,0.96,16.96,0.28,80.86,0.39,5
06,12,20,0000,49.66,0.8,8.54,0.79,25.64,0.07,6
06,12,20,0000,4.84,0.81,61.07,0.55,59.34,0.92,7
06,12,20,0000,93.52,0.09,80.22,0.13,64.01,0.34,8
06,12,20,0000,29.99,0.66,46.83,0.07,19.06,0.84,9
06,12,20,0000,53.34,0.19,38.54,0.04,16.98,0.14,0
06,12,20,0000,22.44,0.96,64.06,0.18,16.89,0.74,1
06,12,20,0000,5.87,0.57,92.44,0.54,53.76,0.46,2
06,12,20,0000,64.77,0.35,75.13,0.79,54.31,0.49,3
06,12,20,0000,1.2,0.5,85.76,0.32,59.78,0.86,4
06,12,20,0000,85.48,0.3,52.25,0.39,25.39,0.17,5
06,12,20,0000,2.22,0.52,18.8,0.42,16.33,0.05,6
06,12,20,0000,78.29,0.17,74.41,0.61,78.33,0.7,7
06,12,20,0000,87.52,0.34,52.39,0.41,18.39,0.28,8
06,12,20,0000,92.15,0.62,37.26,0.04,48.12,0.96,9
06,12,20,0000,99.01,0.61,77.87,0.03,94.04,0.53,0
06,12,20,0000,65.7,0.48,93.17,0.78,70.11,0.57,1
06,12,20,0000,35.44,0.94,63.69,0.88,20.72,0.57,2
06,12,20,0000,68.4,0.76,27.81,0.55,14.02,0.6,3
06,12,20,0000,73.83,0.87,27.58,0.03,5.81,0.83,4
06,12,20,0000,37.0,0.16,2.25,0.66,60.08,0.35,5
06,12,20,0000,56.63,0.68,49.64,0.5,0.69,0.86,6
06,12,20,0000,69.18,0.62,85.75,0.02,97.98,0.78,7
06,12,20,0000,36.79,0.53,14.12,0.23,42.94,0.53,8
06,12,20,0000,1.62,0.6,26.78,0.97,6.74,0.12,9
06,12,20,0000,86.54,0.31,33.68,0.28,13.12,0.49,0
06,12,20,0000,31.59,0.51,5.74,0.43,85.01,0.03,1
06,12,20,0000,34.44,0.7,54.24,0.73,48.1,0.82,2
06,12,20,0000,35.54,0.81,23.23,0.61,66.28,0.7,3
06,12,20,0000,8.74,0.34,96.39,0.04,62.39,0.42,4
06,12,20,0000,17.63,0.91,5.45,0.62,14.36,0.8,5
06,12,20,0000,43.4,0.65,35.52,0.58,49.97,0.87,6
06,12,20,0000,57.38,0.81,16.11,0.47,65.51,0.63,7
06,12,20,0000,63.85,0.71,83.46,0.57,85.55,0.89,8
06,12,20,0000,66.13,0.4,48.91,0.26,78.65,0.97,9
06,12,20,0000,79.67,0.63,80.75,0.82,99.38,0.37,0
06,12,20,0000,61.54,0.25,8.93,0.94,45.59,0.42,1
06,12,20,0000,7.69,0.51,53.41,0.24,15.8,0.57,2
06,12,20,0000,50.18,0.65,2.06,0.49,38.17,0.41,3
06,12,20,0000,37.33,0.14,88.72,0.99,34.44,0.69,4
06,12,20,0000,26.27,0.12,42.94,0.43,12.8,0.65,5
06,12,20,0000,37.67,0.86,37.29,0.54,64.77,0.66,6
06,12,20,0000,83.08,0.16,79.12,0.71,24.28,0.87,7
